name	balance	scorumpower	posting_rewards_sp	curation_rewards_sp	post_count	comment_count	
a095f	178.266670000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
a3b3	16.482689250 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aaaightscooritis	145.778888890 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aajunior88	97.833803440 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aap	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
aark	144.765555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aas6010	191.410000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abalfaleh	15.296618700 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abayomi2979	27.717580000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abbasabbasabbasa	149.081308010 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abbeyforex	160.623219048 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abcdfghijk	380.513888890 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abdualalawi	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abdullahalsaeed	100.587681070 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abeltokes0819	300.947222220 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abhi14	995.568165200 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abhijeetshinde	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abhis550	517.333168871 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abo0od226	297.264218680 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aboadbau	224.916290060 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
abolinbsu	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
aboundlessworld	1544.859681940 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
abubakri	19.402546063 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
achi13	226.833600000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
achintyascorum	286.416000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
acrypt	1391.573333333 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adamo08	24.383333330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adamos9908	114.925555560 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adamsterdam	72.333000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
addyarya	228.422433333 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adebayo09	104.175491104 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adebits	177.015948887 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adeeldelta3	91.854762244 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adelabonab	47.511066670 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adelgros	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adelmi2	272.442657030 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ademetriou	323.543280000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adeoptimus1	276.967533330 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adesa	180.320957410 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adigicash	137.737471931 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adjiadjo	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
adrian003377	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adriandobrebtc	328.677095938 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adrianorb90	26.666388890 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adu	0.000000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adversus	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
adyjatt	312.970268049 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
adyshkant	11.928111110 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
ael1champ	78.623282750 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aescsa1507	593.834866450 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aevans	199.613000000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
aey	61.632650000 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
afantasia	3934.420605559 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
afilipovich	0.000000000 SCR	1046.666666666 SP	0.000000000 SP	0.000000000 SP	0	0	
agaspain70lili82	1072.222222220 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
agent19	218.322066666 SCR	5.000000000 SP	0.000000000 SP	0.000000000 SP	0	0	
